,Vs,Vr,Vl,I,
123,0.5877853,0.1541806,0.4336047,0.1541806,24
123,1,0.9010541,0.0989459,0.9010541,75
123,0,-0.0031759,0.0031759,-0.0031759,236
124,0,0.0209294,-0.0209294,0.0209294,132
125,1,0.9866091,0.0133909,0.9866091,95
127,-0.5877853,-0.1389432,-0.4488421,-0.1389432,49
128,0,0.0085093,-0.0085093,0.0085093,141
128,0,0.003879,-0.003879,0.003879,183
130,1,0.5987545,0.4012455,0.5987545,61
130,0,0.0189377,-0.0189377,0.0189377,133
131,0,0.0026002,-0.0026002,0.0026002,187
133,0,0.0350084,-0.0350084,0.0350084,161
134,0,0.1888882,-0.1888882,0.1888882,110
134,0,-0.019213,0.019213,-0.019213,218
141,1,0.9189899,0.0810101,0.9189899,77
145,0.9510565,0.0870244,0.8640321,0.0870244,23
145,0.9510565,0.0735681,0.8774884,0.0735681,43
145,0,0.3803741,-0.3803741,0.3803741,103
146,1,0.9730341,0.0269659,0.9730341,88
147,0,0.0095409,-0.0095409,0.0095409,174
149,1,0.9779222,0.0220778,0.9779222,90
149,0,0.1266155,-0.1266155,0.1266155,114
152,0,-0.004287,0.004287,-0.004287,233
153,1,0.9701981,0.0298019,0.9701981,87
153,1,0.9890365,0.0109635,0.9890365,97
153,0,0.2549724,-0.2549724,0.2549724,107
153,0,-0.0019263,0.0019263,-0.0019263,241
154,-1,0,-1,0,201
155,1,0.1919907,0.8080093,0.1919907,54
156,0,-0.0981197,0.0981197,-0.0981197,10
156,1,0.0130952,0.9869048,0.0130952,52
156,0,-0.0951626,0.0951626,-0.0951626,202
158,-0.5877853,0.1962454,-0.7840306,0.1962454,6
158,0,0.0472563,-0.0472563,0.0472563,158
158,0,0.0019263,-0.0019263,0.0019263,190
159,1,0.9819242,0.0180758,0.9819242,92
159,1,0.9852008,0.0147992,0.9852008,94
159,0,0.0848729,-0.0848729,0.0848729,118
160,0,0.019213,-0.019213,0.019213,167
161,1,0.866437,0.133563,0.866437,72
162,1,0.8791472,0.1208528,0.8791472,73
164,0.9510565,-0.018144,0.9692005,-0.018144,32
164,1,0.9508649,0.0491351,0.9508649,82
165,0.5877853,0.1420048,0.4457805,0.1420048,44
165,1,0.5565551,0.4434449,0.5565551,60
166,0,0.0628754,-0.0628754,0.0628754,121
167,0.5877853,-0.0920491,0.6798344,-0.0920491,21
167,0,0.0767962,-0.0767962,0.0767962,119
