Vs,Vr,Vl,I
1,0.9890365,0.0109635,0.9890365
0,0.2549724,-0.2549724,0.2549724
0,-0.0019263,0.0019263,-0.0019263
-1,0,-1,0
1,0.1919907,0.8080093,0.1919907
0,-0.0981197,0.0981197,-0.0981197
1,0.0130952,0.9869048,0.0130952
0,-0.0951626,0.0951626,-0.0951626
-0.5877853,0.1962454,-0.7840306,0.1962454
0,0.0472563,-0.0472563,0.0472563
0,0.0019263,-0.0019263,0.0019263
1,0.9819242,0.0180758,0.9819242
1,0.9852008,0.0147992,0.9852008
0,0.0848729,-0.0848729,0.0848729
0,0.019213,-0.019213,0.019213
1,0.866437,0.133563,0.866437
1,0.8791472,0.1208528,0.8791472
0.9510565,-0.018144,0.9692005,-0.018144
1,0.9508649,0.0491351,0.9508649
0.5877853,0.1420048,0.4457805,0.1420048
1,0.5565551,0.4434449,0.5565551
0,0.0628754,-0.0628754,0.0628754
0.5877853,-0.0920491,0.6798344,-0.0920491
0,0.0767962,-0.0767962,0.0767962
0,0.0421467,-0.0421467,0.0421467
0,0.008633,-0.008633,0.008633
1,0.1812692,0.8187308,0.1812692
0,0.0057868,-0.0057868,0.0057868
0,0.189858,-0.189858,0.189858
0,0.0142333,-0.0142333,0.0142333
0,0.0011683,-0.0011683,0.0011683
1,0.9670638,0.0329362,0.9670638
-0.5877853,-0.1168825,-0.4709027,-0.1168825
0,-0.0011683,0.0011683,-0.0011683
1,0.8197088,0.1802912,0.8197088
0,0.2493706,-0.2493706,0.2493706
-0.9510565,-0.0679895,-0.883067,-0.0679895
0.5877853,0.2441482,0.3436371,0.2441482
0,0.311424,-0.311424,0.311424
-0.9510565,0.034903,-0.9859596,0.034903
0,0,0,0
1,0.7797918,0.2202082,0.7797918
0,0.0047379,-0.0047379,0.0047379
0,0.0015771,-0.0015771,0.0015771
0,-0.0028737,0.0028737,-0.0028737
1,0.338458,0.661542,0.338458
0,0.0008655,-0.0008655,0.0008655
0,0.1145665,-0.1145665,0.1145665
-0.9510565,-0.0458037,-0.9052528,-0.0458037
0,-0.0779125,0.0779125,-0.0779125
0,0.0951626,-0.0951626,0.0951626
0,-0.0212336,0.0212336,-0.0212336
0,-0.0026002,0.0026002,-0.0026002
0,0.0128789,-0.0128789,0.0128789
