"","Lat","Lon","clus_labels"
"1",41.482,81.802,2
"2",41.477,81.852,2
"3",41.455,81.92,2
"4",41.1,80.646,3
"5",41.024,80.615,3
"6",41.238,80.821,3
"7",41.081,81.527,1
"8",40.821,81.397,1
"9",41.134,81.481,1
"10",41.865,80.769,4
"11",41.948,80.56,4
"12",41.805,80.946,4
