27,27,27,28,28,29,30,30,31,31,32,32,33,33,34,34,35,35,36,36,37,37,38,38,39,39,39,40,40,41,41,42,42,43,44,44,45,46,47,48,49,49,50,51,52,52,53,54,54,54,55,55,56,56,57,57,58,58,59,59,60,60,61
54,54,55,55,56,57,58,59,60,61,62,63,64,65,65,66,66,66,66,67,67,67,68,68,68,69,69,69,70,70,70,70,71,71,71,71,72,72,72,72,72,72,72,72,72,72,72,73,73,74,74,75,75,75,76,76,76,76,76,77,77,77,77
42,42,43,43,43,44,44,45,45,46,46,47,47,48,48,48,49,49,50,50,50,51,51,52,52,53,54,55,56,57,58,60,61,62,63,64,65,66,66,66,67,67,67,67,68,68,68,68,69,69,69,69,69,70,70,70,70,70,70,70,71,71,71
29,29,30,30,31,31,31,32,32,33,33,33,34,34,35,35,35,36,36,37,37,37,38,38,39,39,39,40,40,40,40,40,40,41,41,41,41,41,41,41,41,41,41,41,42,42,43,43,44,44,45,46,47,47,48,49,49,49,50,50,51,51,51
61,62,62,63,63,64,64,64,65,65,65,65,65,65,65,65,66,66,66,66,66,67,67,67,68,68,68,69,69,69,69,70,70,70,70,71,71,71,71,71,72,72,72,72,72,73,73,73,73,74,74,74,74,74,75,75,75,75,75,76,76,76,76
62,62,63,63,63,64,64,65,65,66,66,66,67,67,68,68,69,69,69,70,70,70,71,71,71,71,71,71,71,71,71,71,71,71,70,70,69,69,68,68,68,68,68,68,69,69,69,70,70,71,71,72,72,73,73,73,74,74,74,74,74,74,74
69,69,69,70,70,70,70,70,71,70,71,71,71,71,71,71,71,71,71,71,71,71,72,72,72,73,73,73,74,74,75,75,75,76,76,75,76,76,76,76,77,78,78,78,78,78,79,79,79,80,80,80,80,81,81,81,82,82,82,82,82,82,82
65,65,67,67,67,68,68,67,68,68,69,70,70,70,70,70,70,70,70,70,70,70,71,71,71,71,72,72,72,73,73,73,73,73,74,74,74,75,75,76,76,76,76,76,77,77,77,78,78,78,78,79,79,79,79,80,80,80,81,80,81,81,81
57,57,58,58,59,59,59,60,60,61,61,61,62,62,63,63,64,64,64,65,65,65,65,66,66,65,65,65,65,65,65,65,65,65,65,66,66,66,66,65,65,64,64,64,64,65,65,66,66,66,67,67,68,68,69,69,69,70,70,70,71,71,71
41,42,42,43,44,46,47,48,49,51,52,53,55,56,57,58,60,61,62,63,63,64,65,66,66,67,68,68,69,69,70,70,70,71,71,71,72,72,72,72,72,73,73,73,73,73,74,74,74,74,74,75,75,75,75,75,76,76,76,76,76,76,76
43,43,43,44,44,45,45,45,46,46,47,48,48,49,49,50,50,50,49,48,48,47,47,47,48,49,50,52,53,54,55,55,56,56,57,57,58,58,59,59,60,61,61,62,62,63,63,64,64,65,65,66,66,67,67,67,68,68,69,69,69,70,70
