case,clus_labels,Matched Neuron,clus_labels,Matched Neuron
1,2,5,4,25
2,5,14,3,22
3,5,10,3,24
4,6,20,6,10
5,4,11,1,11
6,3,21,2,1
7,1,11,5,7
8,4,2,1,5
9,6,16,6,1
10,1,21,5,1
11,1,11,5,11
12,2,5,4,25
13,3,21,2,1
14,5,20,3,22
15,4,5,1,15
16,1,16,5,6
17,3,21,2,1
18,2,5,4,25
19,4,25,1,5
20,4,9,1,23
21,1,21,5,1
22,4,2,1,5
