"","Income2014","Income2016","Employ2014","Employ2016","BirthWeight2014","BirthWeight2016","Death2014","Death2016","Stage4Capped2014","Stage4Capped2016","Violence2014","Violence2016","Theft2014","Theft2016"
"1",16.7859310311674,16.1588122910314,13.1085237803366,10.3014035226873,5.63995465097582,5.61098651077562,1046.77183416846,1036.87940982715,329.340681601731,346.153850410756,1.32504835543382,1.73626816777875,0.485252334409858,0.43397365191557
"2",17.5906425274057,16.9294015626375,13.838001088589,10.9480408946148,5.75605632992612,5.70042898409415,1066.3360452083,1056.99128551321,326.030626465831,344.006163502986,1.35354173271795,1.79941844916752,0.530515149130855,0.482729424552447
"3",18.5242255982212,17.8023253982469,14.6898841554132,11.7185977275773,5.88947616866677,5.80150589873149,1089.72143179469,1080.08411742679,321.943251577032,341.310844191642,1.37576496630049,1.8613533471888,0.591497888763758,0.547895210143736
"4",19.3487904253024,18.5633226649136,15.4471056068529,12.4092880553001,6.01302816412206,5.89657382394257,1110.93373588169,1100.47518040459,318.303270937888,338.851289025532,1.39145845969672,1.91021494501747,0.650990352654429,0.610556073676297
"5",19.8768915489104,19.0501825457818,15.9378426642533,12.8589424380739,6.09768602806472,5.96435617825969,1125.2196151945,1113.85123239301,316.068554790316,337.321163064437,1.40077322482578,1.93886454731667,0.695431347522438,0.654485624199565
"6",16.1432091248353,15.5756453371903,12.5740423006341,9.89153947428189,5.49997424132983,5.44642016010698,1023.78909761112,1011.99729551313,332.337572461122,349.079800611436,1.23365523467015,1.60948159975503,0.429146147562689,0.375797237369231
"7",16.9149003227571,16.3101237511153,13.2661303227455,10.4990773766649,5.60724833553508,5.53652035311332,1043.94386724581,1033.0265765446,329.071575330181,346.866196291715,1.27195524705965,1.68197400251484,0.480266418523576,0.426721986967757
"8",17.9041958133008,17.2366030257828,14.1609250378494,11.2983489510814,5.74620642873987,5.65458694715328,1070.83404359926,1060.26692764806,324.651496248871,343.787164262465,1.31423326551154,1.76821634393588,0.555908144741871,0.501675166985892
"9",18.8390333369134,18.1073258025203,15.0119620411166,12.0663923109795,5.88320883130898,5.77130529851835,1096.72402762669,1085.9824105736,320.512412151364,340.864338534901,1.35056995592347,1.84409492279149,0.633547547142517,0.577499434022348
"10",19.457059688827,18.6852968970524,15.5801537799857,12.5831828254745,5.97978988430183,5.8549367415232,1114.49879317882,1103.29062055721,317.938024003196,339.032622558475,1.37397963169289,1.89137202297226,0.691591396940128,0.631280092518822
