5,5.003,5.011,5.025,5.044,5,5.251,5.501,5.751,6.001,5,5.028,5.059,5.092,5.129
5.216,5.506,5.907,6.412,7.079,7.256,8.541,9.875,11.273,12.891,5.357,5.672,6.093,6.642,7.427
7.865,8.763,9.767,11.151,12.64,14.595,16.368,18.171,20.383,22.343,8.448,9.757,11.407,14.035,17.376
14.166,15.622,16.635,17.443,17.972,23.785,24.397,24.086,22.952,20.975,21.436,26.095,30.027,33.943,37.581
18.164,17.98,17.411,16.48,15.246,18.231,14.901,11.279,7.655,4.27,40.686,43.02,44.457,44.982,44.677
13.791,12.195,10.537,8.886,7.237,1.32,-1.1,-2.965,-4.325,-5.296,43.723,42.321,40.654,38.893,37.101
5.692,4.276,3.001,1.31,-0.07,-5.907,-6.248,-6.403,-6.428,-6.324,35.401,33.833,32.411,30.485,28.846
-1.182,-2.074,-2.928,-3.614,-4.182,-6.198,-6.116,-6.115,-6.241,-6.503,27.44,26.224,24.979,23.923,23.045
-4.698,-5.134,-5.578,-6.04,-6.533,-6.901,-7.335,-7.855,-8.453,-9.115,22.331,21.856,21.516,21.325,21.294
-7.171,-7.857,-8.577,-9.31,-10.203,-9.963,-10.836,-11.671,-12.387,-12.987,21.489,21.969,22.754,23.839,25.591
-10.945,-11.418,-11.536,-11.339,-10.898,-13.051,-12.463,-11.266,-9.985,-8.598,27.588,29.561,31.219,32.119,32.541
-10.255,-9.48,-8.589,-7.715,-6.924,-7.26,-6.09,-5.106,-4.436,-4.074,32.481,31.997,31.135,30.032,28.789
-6.26,-5.757,-5.395,-5.174,-5.087,-3.959,-4.02,-4.229,-4.562,-5.002,27.516,26.321,25.18,24.119,23.158
-5.141,-5.352,-5.719,-6.229,-6.869,-5.625,-6.376,-7.254,-8.256,-9.368,22.211,21.45,20.915,20.655,20.723
-7.637,-8.507,-9.427,-10.181,-10.858,-10.542,-11.688,-12.672,-13.248,-13.475,21.188,22.106,23.49,24.976,26.678
-11.393,-11.722,-11.794,-11.586,-11.111,-13.266,-12.594,-11.49,-10.108,-8.623,28.464,30.163,31.578,32.555,33.013
-10.421,-9.544,-8.6,-7.677,-6.84,-7.175,-5.836,-4.803,-4.107,-3.719,32.948,32.402,31.477,30.288,28.988
-6.166,-5.622,-5.214,-4.942,-4.772,-3.573,-3.605,-3.781,-4.07,-4.602,27.759,26.546,25.382,24.289,22.975
-4.814,-5.062,-5.494,-6.05,-6.764,-5.289,-6.127,-7.131,-8.232,-9.466,21.845,20.937,20.307,20.027,20.121
-7.627,-8.603,-9.421,-10.232,-10.977,-10.779,-12.067,-12.969,-13.632,-13.934,20.666,21.73,22.969,24.54,26.371
-11.583,-11.98,-12.103,-11.919,-11.446,-13.779,-13.102,-11.97,-10.514,-8.879,28.325,30.214,31.812,32.943,33.517
-10.817,-10.045,-9.194,-8.323,-7.43,-7.415,-6.1,-5.012,-4.187,-3.584,33.547,33.163,32.441,31.489,30.33
-6.622,-5.928,-5.365,-4.868,-4.549,-3.238,-3.108,-3.143,-3.34,-3.676,29.093,27.838,26.609,25.214,23.912
-4.399,-4.402,-4.551,-4.845,-5.286,-4.127,-4.686,-5.378,-6.198,-7.153,22.724,21.667,20.741,20.002,19.487
-5.867,-6.584,-7.439,-8.412,-9.459,-8.251,-9.485,-10.815,-12.155,-13.361,19.249,19.347,19.863,20.87,22.41
