time,x,y,z
16.887,1.267,2.222,15.579
16.909,1.492,2.561,14.753
16.931,1.747,2.991,14.001
16.953,2.046,3.524,13.329
16.980,2.481,4.307,12.653
17.006,3.020,5.303,12.132
17.032,3.690,6.559,11.814
17.058,4.529,8.112,11.780
17.087,5.690,10.187,12.201
17.116,7.143,12.684,13.344
17.145,8.900,15.459,15.499
17.174,10.895,18.078,18.968
17.189,11.999,19.170,21.416
17.205,13.074,19.865,24.243
17.220,14.057,20.012,27.347
17.235,14.874,19.493,30.561
17.251,15.452,18.233,33.658
17.266,15.717,16.290,36.365
17.281,15.619,13.811,38.457
17.297,15.155,10.994,39.790
17.311,14.418,8.301,40.305
17.325,13.430,5.758,40.174
17.339,12.255,3.514,39.503
17.354,10.963,1.655,38.438
17.368,9.572,0.153,37.084
17.383,8.195,-0.940,35.596
17.398,6.883,-1.678,34.068
17.413,5.671,-2.137,32.572
17.431,4.352,-2.433,30.835
17.449,3.219,-2.529,29.216
17.467,2.266,-2.506,27.718
17.485,1.481,-2.429,26.331
17.506,0.744,-2.323,24.835
17.527,0.167,-2.239,23.454
17.548,-0.285,-2.200,22.173
17.570,-0.647,-2.219,20.981
17.593,-0.983,-2.308,19.774
17.616,-1.276,-2.479,18.659
17.639,-1.546,-2.743,17.634
17.662,-1.823,-3.100,16.697
17.684,-2.124,-3.540,15.874
17.706,-2.464,-4.092,15.146
17.728,-2.857,-4.776,14.527
17.751,-3.322,-5.607,14.036
17.777,-3.979,-6.777,13.664
17.802,-4.785,-8.212,13.572
17.828,-5.764,-9.931,13.862
17.854,-6.941,-11.908,14.673
17.876,-8.086,-13.705,15.870
17.898,-9.363,-15.515,17.670
17.919,-10.734,-17.145,20.153
17.941,-12.113,-18.321,23.306
17.957,-13.096,-18.709,26.084
17.974,-13.941,-18.501,29.030
17.990,-14.572,-17.612,31.941
18.007,-14.919,-16.045,34.585
18.023,-14.931,-13.889,36.714
18.040,-14.583,-11.376,38.157
18.056,-13.889,-8.756,38.845
18.073,-12.905,-6.242,38.802
18.090,-11.651,-3.921,38.114
18.107,-10.266,-2.055,36.947
18.125,-8.847,-0.678,35.472
18.142,-7.471,0.258,33.874
18.158,-6.241,0.832,32.346
18.175,-5.132,1.156,30.852
18.192,-4.156,1.299,29.423
18.208,-3.318,1.322,28.071
18.230,-2.403,1.247,26.385
18.252,-1.691,1.114,24.822
18.275,-1.150,0.970,23.368
18.297,-0.744,0.842,22.012
18.318,-0.448,0.741,20.786
18.339,-0.225,0.670,19.634
18.361,-0.060,0.631,18.549
18.382,0.068,0.622,17.525
18.403,0.177,0.636,16.559
18.425,0.270,0.678,15.648
18.446,0.354,0.750,14.789
18.467,0.438,0.849,13.979
18.493,0.552,1.009,13.055
18.519,0.683,1.224,12.198
18.545,0.838,1.510,11.407
18.571,1.032,1.879,10.684
18.601,1.328,2.436,9.935
18.631,1.716,3.186,9.291
18.661,2.226,4.197,8.783
18.691,2.910,5.545,8.468
18.723,3.886,7.408,8.458
18.755,5.199,9.910,8.966
18.787,6.923,13.106,10.338
18.818,9.113,16.780,13.135
18.835,10.438,18.722,15.382
18.852,11.845,20.465,18.271
18.868,13.275,21.772,21.808
18.885,14.634,22.369,25.888
18.901,15.809,21.972,30.298
18.918,16.649,20.428,34.589
18.935,17.024,17.769,38.291
18.951,16.862,14.214,41.032
18.965,16.326,10.985,42.347
18.978,15.451,7.744,42.827
18.991,14.290,4.730,42.551
19.005,12.920,2.108,41.667
19.018,11.430,-0.026,40.378
19.031,9.892,-1.668,38.847
19.045,8.372,-2.853,37.210
19.058,6.918,-3.656,35.578
19.073,5.395,-4.220,33.817
19.088,4.026,-4.510,32.180
19.103,2.820,-4.617,30.681
19.118,1.778,-4.616,29.317
19.137,0.669,-4.544,27.757
19.157,-0.231,-4.455,26.359
19.176,-0.960,-4.396,25.098
19.195,-1.556,-4.397,23.953
19.215,-2.083,-4.477,22.860
19.235,-2.536,-4.647,21.873
19.255,-2.942,-4.915,20.989
19.275,-3.331,-5.282,20.209
19.295,-3.730,-5.748,19.534
19.315,-4.151,-6.319,18.979
19.336,-4.607,-7.000,18.560
19.356,-5.114,-7.789,18.295
19.380,-5.797,-8.856,18.214
19.403,-6.578,-10.058,18.444
19.427,-7.457,-11.357,19.048
19.451,-8.427,-12.672,20.083
19.473,-9.363,-13.784,21.426
19.494,-10.314,-14.688,23.169
19.516,-11.224,-15.240,25.264
19.537,-12.019,-15.304,27.588
19.559,-12.619,-14.762,29.953
19.580,-12.934,-13.627,32.090
19.602,-12.907,-12.006,33.760
19.623,-12.533,-10.053,34.812
19.642,-11.958,-8.284,35.168
19.660,-11.188,-6.613,35.034
19.679,-10.284,-5.150,34.480
19.697,-9.308,-3.960,33.613
19.718,-8.232,-2.992,32.446
19.738,-7.207,-2.343,31.144
19.758,-6.278,-1.971,29.786
19.778,-5.471,-1.809,28.434
19.802,-4.712,-1.802,26.937
19.825,-4.124,-1.940,25.508
19.848,-3.696,-2.178,24.161
19.871,-3.414,-2.491,22.901
19.901,-3.228,-3.009,21.377
19.932,-3.243,-3.636,20.020
19.963,-3.456,-4.380,18.843
19.993,-3.836,-5.292,17.882
20.019,-4.265,-6.214,17.285
20.044,-4.824,-7.299,16.907
20.069,-5.522,-8.559,16.806
20.094,-6.365,-9.989,17.058
20.120,-7.347,-11.548,17.741
20.145,-8.466,-13.159,18.972
20.170,-9.690,-14.665,20.830
20.195,-10.941,-15.827,23.321
20.214,-11.832,-16.296,25.556
20.233,-12.606,-16.274,27.974
20.252,-13.190,-15.677,30.402
20.271,-13.521,-14.497,32.633
20.289,-13.547,-12.800,34.445
20.308,-13.247,-10.785,35.677
20.327,-12.634,-8.669,36.258
20.346,-11.764,-6.632,36.202
20.366,-10.630,-4.710,35.556
20.387,-9.390,-3.194,34.459
20.407,-8.145,-2.117,33.063
20.427,-6.967,-1.428,31.548
20.446,-5.966,-1.051,30.126
20.466,-5.092,-0.881,28.723
20.485,-4.353,-0.861,27.369
20.504,-3.750,-0.945,26.075
20.528,-3.159,-1.147,24.510
20.553,-2.750,-1.421,23.048
20.577,-2.498,-1.741,21.687
20.602,-2.377,-2.105,20.426
20.630,-2.363,-2.589,19.110
20.658,-2.481,-3.154,17.926
20.686,-2.734,-3.821,16.883
20.714,-3.108,-4.637,16.002
20.739,-3.552,-5.544,15.373
20.764,-4.121,-6.637,14.940
20.790,-4.832,-7.943,14.762
20.815,-5.702,-9.476,14.920
20.837,-6.623,-11.027,15.429
20.860,-7.688,-12.714,16.391
20.883,-8.886,-14.443,17.907
20.905,-10.181,-16.046,20.052
20.928,-11.506,-17.302,22.855
20.950,-12.745,-17.858,26.199
20.973,-13.750,-17.427,29.803
20.995,-14.357,-15.907,33.230
21.013,-14.458,-13.947,35.481
21.032,-14.179,-11.567,37.055
21.050,-13.529,-9.037,37.852
21.068,-12.566,-6.576,37.878
21.086,-11.391,-4.405,37.265
21.104,-10.088,-2.649,36.183
21.122,-8.751,-1.347,34.791
21.140,-7.456,-0.461,33.264
21.157,-6.290,0.086,31.774
21.174,-5.243,0.388,30.307
21.192,-4.329,0.512,28.893
21.209,-3.553,0.516,27.547
21.232,-2.726,0.415,25.878
21.255,-2.098,0.248,24.323
21.278,-1.637,0.058,22.871
21.301,-1.312,-0.135,21.514
21.323,-1.092,-0.321,20.276
21.346,-0.954,-0.502,19.113
21.368,-0.884,-0.680,18.021
21.390,-0.866,-0.864,16.994
21.413,-0.885,-1.068,16.030
21.435,-0.943,-1.295,15.127
21.457,-1.041,-1.556,14.283
21.480,-1.177,-1.865,13.498
21.508,-1.404,-2.346,12.601
21.536,-1.708,-2.958,11.805
21.564,-2.111,-3.745,11.127
21.592,-2.635,-4.761,10.598
21.618,-3.265,-5.968,10.284
21.644,-4.066,-7.492,10.212
21.670,-5.075,-9.384,10.494
21.696,-6.331,-11.658,11.302
21.717,-7.532,-13.724,12.473
21.738,-8.914,-15.931,14.283
21.759,-10.455,-18.100,16.875
21.780,-12.085,-19.925,20.332
21.795,-13.253,-20.804,23.357
21.810,-14.339,-21.104,26.722
21.825,-15.263,-20.671,30.254
21.840,-15.941,-19.422,33.706
21.856,-16.294,-17.354,36.783
21.871,-16.259,-14.652,39.203
21.886,-15.812,-11.575,40.782
21.901,-14.983,-8.380,41.454
21.915,-13.923,-5.547,41.320
21.929,-12.653,-3.054,40.587
21.943,-11.253,-1.001,39.413
21.957,-9.797,0.586,37.975
21.971,-8.338,1.758,36.414
21.985,-6.943,2.556,34.828
22.000,-5.648,3.054,33.284
22.014,-4.475,3.331,31.820
22.033,-3.083,3.481,29.974
22.053,-1.926,3.470,28.299
22.072,-0.979,3.391,26.779
22.091,-0.215,3.306,25.392
22.114,0.480,3.244,23.950
22.136,1.031,3.251,22.635
22.158,1.474,3.345,21.433
22.180,1.857,3.534,20.334
22.201,2.207,3.807,19.366
22.222,2.552,4.181,18.494
22.244,2.908,4.664,17.724
22.265,3.299,5.261,17.066
22.288,3.781,6.036,16.500
22.310,4.339,6.971,16.109
22.333,4.989,8.077,15.935
22.356,5.749,9.353,16.031
22.383,6.790,11.031,16.566
22.409,8.004,12.858,17.707
22.436,9.364,14.669,19.585
22.463,10.797,16.173,22.256
22.481,11.785,16.842,24.596
22.500,12.673,17.009,27.196
22.519,13.383,16.553,29.882
22.538,13.837,15.437,32.427
22.557,13.969,13.698,34.570
22.575,13.742,11.547,36.102
22.594,13.159,9.228,36.916
22.613,12.276,6.946,37.004
22.631,11.190,4.918,36.483
22.650,9.977,3.262,35.502
22.669,8.728,2.022,34.207
22.687,7.514,1.170,32.763
22.705,6.408,0.638,31.318
22.724,5.419,0.348,29.881
22.742,4.561,0.237,28.487
22.760,3.839,0.249,27.153
22.784,3.085,0.378,25.497
22.808,2.529,0.586,23.949
22.832,2.143,0.834,22.503
22.856,1.895,1.106,21.155
22.879,1.758,1.396,19.928
22.903,1.714,1.712,18.785
22.926,1.753,2.059,17.724
22.949,1.862,2.457,16.745
22.973,2.035,2.928,15.852
22.996,2.279,3.485,15.050
23.020,2.601,4.153,14.351
23.043,3.011,4.959,13.773
23.074,3.715,6.291,13.240
23.105,4.641,8.001,13.074
23.137,5.832,10.136,13.446
23.168,7.328,12.651,14.615
23.188,8.441,14.373,15.915
23.207,9.665,16.075,17.761
23.227,10.962,17.586,20.210
23.247,12.262,18.673,23.246
23.267,13.470,19.074,26.773
23.287,14.443,18.535,30.467
23.306,15.041,16.952,33.927
23.326,15.160,14.425,36.759
23.342,14.855,11.849,38.347
23.359,14.196,9.121,39.158
23.375,13.227,6.494,39.216
23.391,12.027,4.156,38.623
23.408,10.668,2.202,37.543
23.424,9.257,0.715,36.154
23.441,7.871,-0.324,34.603
23.457,6.567,-0.995,33.017
23.474,5.343,-1.406,31.425
23.492,4.265,-1.600,29.902
23.509,3.336,-1.648,28.466
23.526,2.554,-1.609,27.118
23.547,1.758,-1.501,25.538
23.569,1.139,-1.371,24.072
23.590,0.666,-1.255,22.706
23.612,0.306,-1.170,21.429
23.637,-0.030,-1.111,20.006
23.663,-0.282,-1.113,18.686
23.689,-0.470,-1.186,17.462
23.714,-0.637,-1.320,16.326
23.737,-0.790,-1.480,15.410
23.759,-0.950,-1.695,14.555
23.781,-1.124,-1.973,13.760
23.803,-1.326,-2.324,13.027
23.830,-1.625,-2.855,12.232
23.856,-1.995,-3.543,11.541
23.883,-2.459,-4.430,10.977
23.910,-3.050,-5.561,10.578
23.939,-3.897,-7.144,10.405
23.969,-4.994,-9.187,10.644
23.998,-6.392,-11.728,11.518
24.028,-8.133,-14.670,13.359
24.046,-9.418,-16.633,15.211
24.065,-10.813,-18.489,17.720
24.084,-12.264,-20.001,20.931
24.102,-13.673,-20.872,24.770
24.117,-14.649,-20.900,28.030
24.131,-15.450,-20.237,31.354
24.145,-16.000,-18.835,34.515
24.160,-16.242,-16.738,37.276
24.174,-16.134,-14.083,39.404
24.189,-15.661,-11.128,40.763
24.203,-14.846,-8.131,41.318
24.217,-13.747,-5.311,41.124
24.232,-12.405,-2.784,40.304
24.247,-10.935,-0.738,39.042
24.262,-9.424,0.803,37.509
24.276,-7.941,1.890,35.871
24.291,-6.527,2.617,34.238
24.306,-5.230,3.053,32.662
24.321,-4.066,3.275,31.176
24.336,-3.044,3.355,29.793
24.357,-1.846,3.335,28.028
24.377,-0.884,3.247,26.431
24.398,-0.119,3.157,24.977
24.419,0.488,3.109,23.646
24.438,0.952,3.118,22.496
24.458,1.342,3.191,21.431
24.477,1.678,3.336,20.445
24.496,1.987,3.557,19.535
24.516,2.291,3.853,18.699
24.535,2.601,4.233,17.943
24.555,2.929,4.705,17.273
24.574,3.291,5.275,16.696
24.598,3.801,6.111,16.135
24.621,4.400,7.125,15.769
24.645,5.102,8.331,15.646
24.669,5.931,9.724,15.833
24.696,7.041,11.504,16.516
24.723,8.331,13.415,17.870
24.750,9.769,15.254,20.031
24.777,11.255,16.675,23.033
24.795,12.194,17.169,25.442
24.813,13.016,17.146,28.048
24.831,13.646,16.513,30.671
24.848,14.018,15.257,33.099
24.866,14.078,13.441,35.095
24.884,13.797,11.268,36.485
24.902,13.186,8.967,37.187
24.920,12.298,6.730,37.208
24.939,11.153,4.646,36.618
24.958,9.884,2.966,35.559
24.976,8.587,1.730,34.185
24.995,7.335,0.899,32.676
25.013,6.226,0.402,31.215
25.031,5.238,0.137,29.771
25.049,4.384,0.044,28.377
25.067,3.666,0.066,27.045
25.091,2.923,0.199,25.409
25.115,2.371,0.400,23.881
25.138,1.983,0.633,22.452
25.162,1.729,0.883,21.118
25.185,1.578,1.150,19.881
25.208,1.516,1.435,18.727
25.232,1.535,1.744,17.652
25.255,1.619,2.094,16.655
25.278,1.760,2.506,15.738
25.302,1.966,2.994,14.904
25.325,2.242,3.576,14.161
25.348,2.595,4.281,13.521
25.379,3.194,5.433,12.876
25.409,3.984,6.920,12.515
25.440,5.009,8.809,12.568
25.471,6.316,11.116,13.239
25.491,7.344,12.832,14.142
25.511,8.509,14.648,15.534
25.531,9.795,16.445,17.510
25.551,11.155,18.030,20.129
25.571,12.520,19.162,23.395
25.591,13.768,19.496,27.143
25.611,14.754,18.770,31.062
25.631,15.328,16.913,34.712
25.647,15.400,14.604,37.147
25.664,15.073,11.861,38.825
25.680,14.355,8.978,39.653
25.697,13.309,6.195,39.650
25.713,12.023,3.727,38.960
25.730,10.594,1.729,37.773
25.747,9.121,0.243,36.268
25.763,7.682,-0.782,34.636
25.779,6.388,-1.421,33.078
25.795,5.210,-1.794,31.559
25.811,4.165,-1.974,30.112
25.827,3.257,-2.024,28.748
25.848,2.232,-1.977,27.022
25.870,1.423,-1.867,25.433
25.892,0.795,-1.750,23.964
25.913,0.310,-1.659,22.601
25.934,-0.050,-1.610,21.399
25.954,-0.339,-1.606,20.272
25.974,-0.575,-1.652,19.215
25.995,-0.779,-1.748,18.221
26.015,-0.973,-1.893,17.287
26.036,-1.162,-2.095,16.414
26.056,-1.357,-2.359,15.601
26.076,-1.571,-2.691,14.848
26.101,-1.876,-3.195,14.018
26.126,-2.239,-3.839,13.292
26.151,-2.679,-4.651,12.690
26.176,-3.222,-5.663,12.243
26.203,-3.982,-7.056,11.983
26.231,-4.940,-8.801,12.071
26.259,-6.131,-10.926,12.664
26.286,-7.586,-13.372,13.983
26.306,-8.797,-15.243,15.522
26.326,-10.126,-17.064,17.682
26.346,-11.526,-18.622,20.521
26.366,-12.909,-19.638,23.998
26.381,-13.890,-19.851,27.028
26.396,-14.714,-19.418,30.175
26.412,-15.305,-18.272,33.222
26.427,-15.600,-16.437,35.934
26.442,-15.551,-14.027,38.071
26.458,-15.141,-11.288,39.478
26.473,-14.386,-8.474,40.105
26.488,-13.344,-5.801,39.991
26.504,-12.046,-3.371,39.241
26.520,-10.618,-1.408,38.031
26.536,-9.150,0.058,36.530
26.552,-7.717,1.076,34.917
26.567,-6.391,1.733,33.335
26.583,-5.182,2.118,31.800
26.599,-4.107,2.304,30.341
26.614,-3.172,2.360,28.970
26.636,-2.110,2.320,27.240
26.657,-1.268,2.217,25.653
26.678,-0.609,2.110,24.191
26.700,-0.095,2.035,22.838
26.720,0.293,2.006,21.646
26.740,0.609,2.028,20.531
26.760,0.873,2.108,19.487
26.780,1.108,2.246,18.510
26.801,1.335,2.443,17.597
26.821,1.562,2.707,16.749
26.841,1.801,3.045,15.967
26.861,2.064,3.463,15.255
26.886,2.440,4.092,14.492
26.910,2.887,4.881,13.858
26.935,3.425,5.863,13.383
26.959,4.083,7.062,13.112
26.986,4.988,8.672,13.128
27.013,6.104,10.618,13.613
27.041,7.454,12.861,14.751
27.068,9.034,15.234,16.761
27.085,10.153,16.695,18.620
27.103,11.311,17.939,20.961
27.121,12.455,18.789,23.758
27.138,13.507,19.065,26.900
27.156,14.379,18.593,30.203
27.173,14.965,17.308,33.349
27.191,15.177,15.268,36.026
27.208,14.975,12.636,37.989
27.223,14.466,10.112,38.975
27.238,13.674,7.597,39.288
27.254,12.651,5.272,38.992
27.269,11.466,3.265,38.208
27.284,10.136,1.579,37.037
27.300,8.787,0.314,35.645
27.316,7.481,-0.563,34.148
27.332,6.262,-1.126,32.642
27.350,5.024,-1.489,30.999
27.367,3.947,-1.639,29.439
27.385,3.032,-1.653,27.973
27.403,2.271,-1.590,26.602
27.425,1.532,-1.470,25.056
27.446,0.961,-1.342,23.621
27.468,0.528,-1.235,22.282
27.489,0.197,-1.163,21.030
27.514,-0.101,-1.123,19.695
27.538,-0.330,-1.140,18.453
27.563,-0.509,-1.220,17.298
27.587,-0.671,-1.358,16.222
27.610,-0.828,-1.530,15.300
27.632,-0.994,-1.761,14.442
27.655,-1.178,-2.061,13.646
27.677,-1.392,-2.438,12.914
27.704,-1.706,-3.002,12.134
27.731,-2.099,-3.732,11.462
27.758,-2.591,-4.674,10.926
27.784,-3.218,-5.873,10.570
27.814,-4.114,-7.543,10.469
27.843,-5.273,-9.689,10.821
27.873,-6.745,-12.332,11.871
27.902,-8.562,-15.333,13.973
27.921,-9.855,-17.234,15.980
27.939,-11.239,-18.967,18.635
27.957,-12.653,-20.289,21.954
27.976,-13.996,-20.915,25.831
27.990,-14.907,-20.733,29.075
28.004,-15.626,-19.861,32.315
28.018,-16.084,-18.280,35.326
28.032,-16.228,-16.058,37.884
28.046,-16.029,-13.352,39.785
28.061,-15.480,-10.414,40.925
28.075,-14.612,-7.493,41.294
28.089,-13.483,-4.787,40.965
28.103,-12.130,-2.386,40.060
28.118,-10.669,-0.461,38.761
28.133,-9.180,0.979,37.226
28.147,-7.729,1.987,35.610
28.162,-6.317,2.672,33.964
28.177,-5.027,3.072,32.384
28.192,-3.877,3.267,30.899
28.207,-2.871,3.328,29.518
28.228,-1.724,3.295,27.798
28.248,-0.801,3.204,26.238
28.269,-0.068,3.118,24.815
28.289,0.517,3.074,23.509
28.309,0.978,3.089,22.348
28.329,1.364,3.170,21.274
28.349,1.699,3.326,20.280
28.368,2.008,3.560,19.365
28.388,2.315,3.872,18.526
28.408,2.631,4.272,17.770
28.428,2.968,4.768,17.103
28.447,3.342,5.366,16.534
28.471,3.866,6.232,15.998
28.495,4.482,7.280,15.662
28.519,5.206,8.523,15.582
28.543,6.061,9.956,15.825
28.570,7.211,11.789,16.601
28.597,8.545,13.735,18.090
28.624,10.022,15.566,20.427
28.652,11.527,16.898,23.620
28.669,12.430,17.268,26.061
28.687,13.203,17.111,28.654
28.704,13.775,16.354,31.218
28.722,14.085,15.000,33.547
28.739,14.085,13.129,35.420
28.757,13.757,10.945,36.686
28.774,13.114,8.666,37.282
28.792,12.212,6.478,37.227
28.811,11.028,4.400,36.567
28.830,9.729,2.746,35.445
28.849,8.413,1.550,34.022
28.868,7.153,0.761,32.478
28.886,6.056,0.303,31.011
28.904,5.083,0.068,29.569
28.922,4.245,-0.004,28.180
28.940,3.544,0.031,26.856
28.963,2.824,0.172,25.240
28.987,2.290,0.375,23.730
29.010,1.917,0.605,22.318
29.033,1.672,0.851,20.999
29.062,1.497,1.181,19.502
29.091,1.453,1.536,18.127
29.119,1.533,1.924,16.868
29.148,1.703,2.390,15.726
29.171,1.896,2.866,14.878
29.195,2.159,3.435,14.120
29.218,2.499,4.122,13.462
29.242,2.928,4.957,12.924
29.275,3.710,6.425,12.434
29.308,4.755,8.356,12.371
29.341,6.117,10.807,12.963
29.374,7.845,13.686,14.568
29.393,9.046,15.492,16.173
29.413,10.351,17.210,18.382
29.432,11.708,18.628,21.236
29.452,13.028,19.480,24.669
29.467,13.958,19.565,27.647
29.483,14.721,19.012,30.697
29.498,15.245,17.776,33.605
29.513,15.473,15.894,36.148
29.528,15.365,13.494,38.109
29.544,14.910,10.814,39.356
29.559,14.130,8.097,39.855
29.574,13.083,5.543,39.658
29.590,11.790,3.227,38.861
29.606,10.381,1.370,37.637
29.622,8.945,-0.008,36.149
29.638,7.551,-0.959,34.560
29.654,6.245,-1.577,32.981
29.670,5.061,-1.930,31.450
29.686,4.014,-2.093,29.996
29.702,3.108,-2.133,28.629
29.723,2.103,-2.078,26.929
29.745,1.308,-1.969,25.365
29.766,0.689,-1.858,23.920
29.787,0.208,-1.776,22.577
29.808,-0.158,-1.737,21.373
29.829,-0.454,-1.746,20.245
29.849,-0.697,-1.810,19.188
29.870,-0.911,-1.928,18.197
29.890,-1.117,-2.099,17.268
29.911,-1.322,-2.333,16.402
29.931,-1.536,-2.635,15.600
29.952,-1.773,-3.012,14.862
29.976,-2.110,-3.579,14.064
30.001,-2.514,-4.297,13.382
30.026,-3.003,-5.199,12.839
30.051,-3.606,-6.315,12.475
30.078,-4.445,-7.836,12.346
30.106,-5.495,-9.717,12.628
30.134,-6.787,-11.957,13.500
30.161,-8.337,-14.443,15.196
30.180,-9.556,-16.194,16.994
30.199,-10.858,-17.787,19.392
30.218,-12.182,-18.999,22.401
30.238,-13.434,-19.574,25.917
30.253,-14.285,-19.406,28.886
30.268,-14.949,-18.603,31.845
30.283,-15.358,-17.149,34.580
30.297,-15.467,-15.113,36.887
30.312,-15.247,-12.645,38.581
30.327,-14.698,-9.981,39.569
30.342,-13.852,-7.346,39.847
30.357,-12.769,-4.922,39.487
30.373,-11.463,-2.755,38.586
30.389,-10.067,-1.039,37.316
30.404,-8.660,0.221,35.828
30.420,-7.305,1.084,34.264
30.436,-6.002,1.653,32.668
30.452,-4.830,1.967,31.128
30.469,-3.799,2.101,29.671
30.485,-2.912,2.119,28.303
30.506,-1.956,2.050,26.645
30.527,-1.201,1.939,25.117
30.548,-0.613,1.831,23.701
30.570,-0.156,1.755,22.385
30.591,0.204,1.722,21.171
30.612,0.494,1.739,20.034
30.632,0.733,1.813,18.970
30.653,0.946,1.944,17.974
30.674,1.153,2.131,17.042
30.695,1.363,2.383,16.174
30.716,1.585,2.708,15.373
30.737,1.833,3.114,14.640
30.762,2.185,3.714,13.864
30.787,2.609,4.474,13.207
30.812,3.124,5.427,12.699
30.837,3.761,6.605,12.382
30.865,4.648,8.211,12.330
30.892,5.759,10.190,12.730
30.920,7.123,12.526,13.779
30.948,8.749,15.069,15.726
30.966,9.926,16.693,17.592
30.984,11.163,18.126,19.998
31.002,12.404,19.172,22.936
31.020,13.566,19.614,26.301
31.038,14.549,19.232,29.901
31.056,15.226,17.930,33.370
31.074,15.491,15.754,36.332
31.092,15.293,12.888,38.501
31.107,14.774,10.233,39.543
31.121,13.959,7.585,39.879
31.136,12.903,5.139,39.577
31.151,11.675,3.028,38.765
31.166,10.312,1.274,37.566
31.182,8.926,-0.046,36.146
31.197,7.580,-0.967,34.623
31.212,6.319,-1.563,33.094
31.230,5.031,-1.954,31.431
31.247,3.904,-2.124,29.856
31.264,2.940,-2.153,28.385
31.282,2.132,-2.102,27.013
31.303,1.337,-1.997,25.466
31.324,0.713,-1.887,24.036
31.345,0.230,-1.804,22.707
31.366,-0.149,-1.764,21.466
31.390,-0.509,-1.775,20.118
31.415,-0.800,-1.864,18.872
31.440,-1.044,-2.041,17.721
31.464,-1.281,-2.304,16.660
31.486,-1.515,-2.611,15.783
31.508,-1.772,-3.004,14.982
31.530,-2.063,-3.499,14.261
31.552,-2.405,-4.108,13.629
31.578,-2.899,-4.994,13.020
31.604,-3.509,-6.110,12.594
31.630,-4.261,-7.498,12.413
31.656,-5.193,-9.185,12.571
31.685,-6.471,-11.401,13.296
31.714,-8.039,-13.954,14.880
31.743,-9.878,-16.596,17.599
31.771,-11.861,-18.749,21.644
31.788,-12.972,-19.448,24.555
31.804,-13.972,-19.537,27.748
31.821,-14.776,-18.882,31.021
31.837,-15.297,-17.438,34.113
31.854,-15.465,-15.252,36.721
31.870,-15.233,-12.569,38.606
31.887,-14.599,-9.674,39.643
31.903,-13.618,-6.816,39.824
31.919,-12.424,-4.319,39.303
31.935,-11.070,-2.241,38.268
31.951,-9.648,-0.639,36.887
31.967,-8.233,0.512,35.341
31.983,-6.903,1.279,33.788
31.998,-5.677,1.752,32.256
32.014,-4.577,2.003,30.786
32.030,-3.613,2.103,29.396
32.052,-2.462,2.092,27.549
32.075,-1.555,1.989,25.857
32.097,-0.854,1.868,24.301
32.120,-0.317,1.772,22.864
32.140,0.065,1.722,21.653
32.160,0.371,1.717,20.517
32.181,0.620,1.765,19.451
32.201,0.837,1.865,18.451
32.221,1.041,2.016,17.513
32.242,1.241,2.226,16.636
32.262,1.446,2.501,15.821
32.282,1.670,2.846,15.068
32.307,1.987,3.367,14.246
32.332,2.363,4.029,13.531
32.356,2.815,4.861,12.945
32.381,3.372,5.893,12.519
32.408,4.148,7.306,12.292
32.436,5.121,9.064,12.426
32.463,6.323,11.184,13.078
32.490,7.779,13.594,14.463
32.510,9.009,15.452,16.088
32.531,10.349,17.222,18.351
32.551,11.745,18.677,21.293
32.571,13.100,19.528,24.846
32.586,14.020,19.577,27.828
32.601,14.770,18.987,30.870
32.616,15.279,17.718,33.759
32.632,15.490,15.811,36.274
32.647,15.368,13.397,38.202
32.662,14.900,10.714,39.416
32.677,14.111,8.003,39.887
32.692,13.059,5.462,39.669
32.708,11.764,3.161,38.859
32.724,10.357,1.318,37.630
32.740,8.924,-0.049,36.141
32.756,7.532,-0.992,34.556
32.772,6.225,-1.606,32.974
32.788,5.040,-1.957,31.441
32.804,3.992,-2.119,29.986
32.820,3.085,-2.157,28.618
32.841,2.082,-2.101,26.922
32.862,1.287,-1.993,25.362
32.884,0.669,-1.882,23.919
32.905,0.188,-1.802,22.580
32.926,-0.180,-1.765,21.376
32.946,-0.477,-1.777,20.248
32.967,-0.722,-1.844,19.192
32.987,-0.938,-1.966,18.202
33.008,-1.147,-2.143,17.274
33.028,-1.355,-2.382,16.410
33.049,-1.573,-2.692,15.610
33.069,-1.815,-3.078,14.876
33.094,-2.158,-3.657,14.085
33.119,-2.570,-4.389,13.411
33.144,-3.069,-5.308,12.881
33.169,-3.683,-6.443,12.533
33.196,-4.536,-7.987,12.431
33.224,-5.603,-9.891,12.753
33.251,-6.913,-12.148,13.680
33.279,-8.478,-14.632,15.448
33.297,-9.677,-16.327,17.259
33.316,-10.948,-17.852,19.644
33.335,-12.235,-18.997,22.606
33.353,-13.447,-19.521,26.041
33.372,-14.477,-19.179,29.751
33.391,-15.182,-17.856,33.327
33.410,-15.445,-15.608,36.357
33.428,-15.212,-12.633,38.533
33.443,-14.665,-9.978,39.509
33.458,-13.825,-7.349,39.781
33.473,-12.749,-4.937,39.424
33.488,-11.509,-2.871,38.569
33.504,-10.145,-1.171,37.345
33.519,-8.765,0.100,35.914
33.534,-7.431,0.978,34.391
33.550,-6.186,1.540,32.867
33.567,-4.910,1.905,31.200
33.585,-3.798,2.056,29.624
33.603,-2.851,2.070,28.151
33.620,-2.062,2.011,26.779
33.641,-1.293,1.901,25.241
33.662,-0.692,1.790,23.817
33.684,-0.229,1.707,22.493
